idx,constellation,satIdx,channelIndex,snrIdx,snr_set_dB,snr_meas_dB,dopIdx,doppler_set_Hz,pred_label,top_score,is_correct,detected,numBoxes
1,starlink,1,3,1,-10.000000,-10.000000,1,-360000.000,starlink,0.979671,1,1,1
2,starlink,1,7,1,-10.000000,-10.000000,2,-280000.000,starlink,0.979572,1,1,1
3,starlink,1,5,1,-10.000000,-10.000000,3,-200000.000,starlink,0.980275,1,1,1
4,starlink,1,1,1,-10.000000,-10.000000,4,-120000.000,starlink,0.979670,1,1,1
5,starlink,1,5,1,-10.000000,-10.000000,5,-40000.000,starlink,0.979222,1,1,2
6,starlink,1,4,1,-10.000000,-10.000000,6,40000.000,starlink,0.977055,1,1,1
7,starlink,1,6,1,-10.000000,-10.000000,7,120000.000,starlink,0.981927,1,1,1
8,starlink,1,4,1,-10.000000,-10.000000,8,200000.000,starlink,0.980753,1,1,1
9,starlink,1,5,1,-10.000000,-10.000000,9,280000.000,starlink,0.981169,1,1,1
10,starlink,1,5,1,-10.000000,-10.000000,10,360000.000,starlink,0.982320,1,1,1
11,starlink,1,8,2,-7.777778,-7.777778,1,-360000.000,starlink,0.980950,1,1,1
12,starlink,1,3,2,-7.777778,-7.777778,2,-280000.000,starlink,0.981359,1,1,1
13,starlink,1,7,2,-7.777778,-7.777778,3,-200000.000,starlink,0.984659,1,1,2
14,starlink,1,7,2,-7.777778,-7.777778,4,-120000.000,starlink,0.985171,1,1,1
15,starlink,1,5,2,-7.777778,-7.777778,5,-40000.000,starlink,0.982390,1,1,1
16,starlink,1,4,2,-7.777778,-7.777778,6,40000.000,starlink,0.983662,1,1,1
17,starlink,1,1,2,-7.777778,-7.777778,7,120000.000,starlink,0.982952,1,1,1
18,starlink,1,1,2,-7.777778,-7.777778,8,200000.000,starlink,0.982602,1,1,1
19,starlink,1,6,2,-7.777778,-7.777778,9,280000.000,starlink,0.986167,1,1,1
20,starlink,1,6,2,-7.777778,-7.777778,10,360000.000,starlink,0.981988,1,1,2
21,starlink,1,7,3,-5.555556,-5.555556,1,-360000.000,starlink,0.988726,1,1,1
22,starlink,1,3,3,-5.555556,-5.555556,2,-280000.000,starlink,0.982890,1,1,1
23,starlink,1,3,3,-5.555556,-5.555556,3,-200000.000,starlink,0.983395,1,1,1
24,starlink,1,3,3,-5.555556,-5.555556,4,-120000.000,starlink,0.980772,1,1,1
25,starlink,1,4,3,-5.555556,-5.555556,5,-40000.000,starlink,0.984145,1,1,1
26,starlink,1,1,3,-5.555556,-5.555556,6,40000.000,starlink,0.987387,1,1,1
27,starlink,1,6,3,-5.555556,-5.555556,7,120000.000,starlink,0.985414,1,1,1
28,starlink,1,3,3,-5.555556,-5.555556,8,200000.000,starlink,0.981508,1,1,1
29,starlink,1,2,3,-5.555556,-5.555556,9,280000.000,starlink,0.982884,1,1,1
30,starlink,1,6,3,-5.555556,-5.555556,10,360000.000,starlink,0.984923,1,1,2
31,starlink,1,8,4,-3.333333,-3.333333,1,-360000.000,starlink,0.984574,1,1,1
32,starlink,1,2,4,-3.333333,-3.333333,2,-280000.000,starlink,0.985520,1,1,2
33,starlink,1,6,4,-3.333333,-3.333333,3,-200000.000,starlink,0.987433,1,1,1
34,starlink,1,3,4,-3.333333,-3.333333,4,-120000.000,starlink,0.984295,1,1,1
35,starlink,1,3,4,-3.333333,-3.333333,5,-40000.000,starlink,0.983199,1,1,1
36,starlink,1,8,4,-3.333333,-3.333333,6,40000.000,starlink,0.984772,1,1,1
37,starlink,1,5,4,-3.333333,-3.333333,7,120000.000,starlink,0.987043,1,1,1
38,starlink,1,2,4,-3.333333,-3.333333,8,200000.000,starlink,0.985534,1,1,1
39,starlink,1,3,4,-3.333333,-3.333333,9,280000.000,starlink,0.983498,1,1,1
40,starlink,1,8,4,-3.333333,-3.333333,10,360000.000,starlink,0.985541,1,1,1
41,starlink,1,2,5,-1.111111,-1.111111,1,-360000.000,starlink,0.984282,1,1,1
42,starlink,1,7,5,-1.111111,-1.111111,2,-280000.000,starlink,0.985856,1,1,1
43,starlink,1,3,5,-1.111111,-1.111111,3,-200000.000,starlink,0.984315,1,1,1
44,starlink,1,3,5,-1.111111,-1.111111,4,-120000.000,starlink,0.985129,1,1,1
45,starlink,1,7,5,-1.111111,-1.111111,5,-40000.000,starlink,0.985874,1,1,1
46,starlink,1,8,5,-1.111111,-1.111111,6,40000.000,starlink,0.987328,1,1,1
47,starlink,1,1,5,-1.111111,-1.111111,7,120000.000,starlink,0.986149,1,1,1
48,starlink,1,3,5,-1.111111,-1.111111,8,200000.000,starlink,0.987214,1,1,1
49,starlink,1,1,5,-1.111111,-1.111111,9,280000.000,starlink,0.985998,1,1,1
50,starlink,1,4,5,-1.111111,-1.111111,10,360000.000,starlink,0.986470,1,1,1
51,starlink,1,6,6,1.111111,1.111111,1,-360000.000,starlink,0.988243,1,1,1
52,starlink,1,2,6,1.111111,1.111111,2,-280000.000,starlink,0.986601,1,1,1
53,starlink,1,6,6,1.111111,1.111111,3,-200000.000,starlink,0.986982,1,1,1
54,starlink,1,1,6,1.111111,1.111111,4,-120000.000,starlink,0.985652,1,1,1
55,starlink,1,5,6,1.111111,1.111111,5,-40000.000,starlink,0.987601,1,1,1
56,starlink,1,4,6,1.111111,1.111111,6,40000.000,starlink,0.985134,1,1,1
57,starlink,1,1,6,1.111111,1.111111,7,120000.000,starlink,0.987255,1,1,1
58,starlink,1,3,6,1.111111,1.111111,8,200000.000,starlink,0.985734,1,1,1
59,starlink,1,8,6,1.111111,1.111111,9,280000.000,starlink,0.983871,1,1,1
60,starlink,1,6,6,1.111111,1.111111,10,360000.000,starlink,0.988062,1,1,1
61,starlink,1,7,7,3.333333,3.333333,1,-360000.000,starlink,0.987781,1,1,1
62,starlink,1,1,7,3.333333,3.333333,2,-280000.000,starlink,0.987456,1,1,1
63,starlink,1,6,7,3.333333,3.333333,3,-200000.000,starlink,0.988385,1,1,1
64,starlink,1,7,7,3.333333,3.333333,4,-120000.000,starlink,0.987130,1,1,1
65,starlink,1,4,7,3.333333,3.333333,5,-40000.000,starlink,0.987744,1,1,1
66,starlink,1,5,7,3.333333,3.333333,6,40000.000,starlink,0.988497,1,1,1
67,starlink,1,4,7,3.333333,3.333333,7,120000.000,starlink,0.985824,1,1,1
68,starlink,1,1,7,3.333333,3.333333,8,200000.000,starlink,0.985841,1,1,1
69,starlink,1,5,7,3.333333,3.333333,9,280000.000,starlink,0.986729,1,1,1
70,starlink,1,2,7,3.333333,3.333333,10,360000.000,starlink,0.985438,1,1,1
71,starlink,1,7,8,5.555556,5.555556,1,-360000.000,starlink,0.987156,1,1,1
72,starlink,1,7,8,5.555556,5.555556,2,-280000.000,starlink,0.987679,1,1,1
73,starlink,1,7,8,5.555556,5.555556,3,-200000.000,starlink,0.986097,1,1,1
74,starlink,1,8,8,5.555556,5.555556,4,-120000.000,starlink,0.987402,1,1,1
75,starlink,1,5,8,5.555556,5.555556,5,-40000.000,starlink,0.987498,1,1,1
76,starlink,1,2,8,5.555556,5.555556,6,40000.000,starlink,0.987836,1,1,1
77,starlink,1,2,8,5.555556,5.555556,7,120000.000,starlink,0.986323,1,1,1
78,starlink,1,8,8,5.555556,5.555556,8,200000.000,starlink,0.986597,1,1,1
79,starlink,1,5,8,5.555556,5.555556,9,280000.000,starlink,0.987572,1,1,1
80,starlink,1,6,8,5.555556,5.555556,10,360000.000,starlink,0.987433,1,1,1
81,starlink,1,2,9,7.777778,7.777778,1,-360000.000,starlink,0.986903,1,1,1
82,starlink,1,2,9,7.777778,7.777778,2,-280000.000,starlink,0.987949,1,1,1
83,starlink,1,5,9,7.777778,7.777778,3,-200000.000,starlink,0.986737,1,1,2
84,starlink,1,1,9,7.777778,7.777778,4,-120000.000,starlink,0.986503,1,1,1
85,starlink,1,7,9,7.777778,7.777778,5,-40000.000,starlink,0.987043,1,1,1
86,starlink,1,5,9,7.777778,7.777778,6,40000.000,starlink,0.986107,1,1,1
87,starlink,1,2,9,7.777778,7.777778,7,120000.000,starlink,0.986660,1,1,1
88,starlink,1,3,9,7.777778,7.777778,8,200000.000,starlink,0.986623,1,1,1
89,starlink,1,1,9,7.777778,7.777778,9,280000.000,starlink,0.987768,1,1,1
90,starlink,1,6,9,7.777778,7.777778,10,360000.000,starlink,0.987571,1,1,1
